price,date
7300,24-08-2021
6400,25-08-2021
5950,26-08-2021
5700,27-08-2021
5300,28-08-2021
5950,30-08-2021
5700,31-08-2021
5400,01-09-2021
5450,02-09-2021
5400,03-09-2021
6700,04-09-2021
6400,06-09-2021
6300,07-09-2021
6700,08-09-2021
6400,09-09-2021
6450,10-09-2021
6600,11-09-2021
6600,13-09-2021
6600,14-09-2021
6200,15-09-2021
5900,16-09-2021
5700,17-09-2021
5450,18-09-2021
5450,20-09-2021
5400,22-09-2021
5450,23-09-2021
5350,24-09-2021
5300,25-09-2021
6400,28-09-2021
5950,29-09-2021
5900,30-09-2021
5800,01-10-2021
5900,02-10-2021
6400,04-10-2021
5800,05-10-2021
5700,06-10-2021
5800,07-10-2021
5700,08-10-2021
5700,09-10-2021
5700,11-10-2021
5300,12-10-2021
5300,13-10-2021
6300,16-10-2021
6800,18-10-2021
6200,20-10-2021
5600,21-10-2021
5700,22-10-2021
5700,23-10-2021
5700,25-10-2021
5700,26-10-2021
5600,27-10-2021
5300,28-10-2021
5600,29-10-2021
5200,30-10-2021
5700,01-11-2021
5400,02-11-2021
6600,03-11-2021
6100,05-11-2021
7600,06-11-2021
7100,08-11-2021
6400,09-11-2021
6600,10-11-2021
5600,11-11-2021
5600,12-11-2021
6600,13-11-2021
6600,14-11-2021
5800,15-11-2021
5300,16-11-2021
6800,17-11-2021
5700,18-11-2021
5800,19-11-2021
5700,20-11-2021
6100,22-11-2021
5600,23-11-2021
6400,24-11-2021
6600,25-11-2021
6300,26-11-2021
5800,27-11-2021
5600,29-11-2021
4800,30-11-2021
5800,01-12-2021
5800,02-12-2021
6300,03-12-2021
5600,04-12-2021
6700,06-12-2021
7600,07-12-2021
6800,08-12-2021
6700,09-12-2021
6300,10-12-2021
7800,11-12-2021
7600,13-12-2021
7600,14-12-2021
6800,15-12-2021
6800,16-12-2021
6800,17-12-2021
7800,18-12-2021
7700,20-12-2021
7800,21-12-2021
7800,22-12-2021
7300,23-12-2021
7800,24-12-2021
9100,27-12-2021
8600,28-12-2021
7600,29-12-2021
7800,30-12-2021
8600,31-12-2021
7800,01-01-2022
8800,03-01-2022
8600,04-01-2022
8600,05-01-2022
7600,06-01-2022
8600,07-01-2022
7800,08-01-2022
8600,10-01-2022
7600,11-01-2022
7800,12-01-2022
7800,13-01-2022
7800,15-01-2022
7600,17-01-2022
7800,18-01-2022
7800,19-01-2022
7300,20-01-2022
6800,21-01-2022
6800,22-01-2022
6800,24-01-2022
6800,25-01-2022
6800,27-01-2022
6800,28-01-2022
6800,29-01-2022
7600,31-01-2022
7600,01-02-2022
8300,02-02-2022
8600,03-02-2022
7600,04-02-2022
9800,05-02-2022
8700,07-02-2022
8300,08-02-2022
7800,09-02-2022
8600,10-02-2022
8600,11-02-2022
8600,12-02-2022
8800,14-02-2022
8800,15-02-2022
8700,16-02-2022
7800,17-02-2022
7800,18-02-2022
7800,19-02-2022
8600,21-02-2022
8800,22-02-2022
8400,23-02-2022
8800,24-02-2022
8800,25-02-2022
8600,26-02-2022
8600,28-02-2022
8500,02-03-2022
8800,04-03-2022
8800,05-03-2022
8600,07-03-2022
8300,08-03-2022
8400,09-03-2022
8300,10-03-2022
8300,11-03-2022
7800,12-03-2022
7800,14-03-2022
8200,15-03-2022
7400,16-03-2022
7400,17-03-2022
8100,18-03-2022
7700,19-03-2022
6800,21-03-2022
6600,22-03-2022
6300,23-03-2022
5800,24-03-2022
4800,25-03-2022
6300,26-03-2022
6600,30-03-2022
5800,31-03-2022
5800,01-04-2022
5800,02-04-2022
